INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,OPR_TYPE,ANC_TYPE,ANC_REGION,MARKET_RUN_ID,XML_DATA_ITEM,MW,GROUP
2019-07-03T09:00:00-00:00,2019-07-03T10:00:00-00:00,7/3/2019,3,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,17.11872,3
2019-07-03T14:00:00-00:00,2019-07-03T15:00:00-00:00,7/3/2019,8,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,16.70461,3
2019-07-03T15:00:00-00:00,2019-07-03T16:00:00-00:00,7/3/2019,9,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,20.24682,3
2019-07-04T03:00:00-00:00,2019-07-04T04:00:00-00:00,7/3/2019,21,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,2.79667,3
2019-07-04T00:00:00-00:00,2019-07-04T01:00:00-00:00,7/3/2019,18,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,10.29306,3
2019-07-03T08:00:00-00:00,2019-07-03T09:00:00-00:00,7/3/2019,2,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,10.99,3
2019-07-03T12:00:00-00:00,2019-07-03T13:00:00-00:00,7/3/2019,6,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,10.99,3
2019-07-03T16:00:00-00:00,2019-07-03T17:00:00-00:00,7/3/2019,10,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,8.16422,3
2019-07-03T19:00:00-00:00,2019-07-03T20:00:00-00:00,7/3/2019,13,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,5,3
2019-07-04T02:00:00-00:00,2019-07-04T03:00:00-00:00,7/3/2019,20,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,2.80059,3
2019-07-04T04:00:00-00:00,2019-07-04T05:00:00-00:00,7/3/2019,22,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,7.04377,3
2019-07-03T07:00:00-00:00,2019-07-03T08:00:00-00:00,7/3/2019,1,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,11.4055,3
2019-07-03T17:00:00-00:00,2019-07-03T18:00:00-00:00,7/3/2019,11,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,9.29647,3
2019-07-03T21:00:00-00:00,2019-07-03T22:00:00-00:00,7/3/2019,15,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,18.04,3
2019-07-04T01:00:00-00:00,2019-07-04T02:00:00-00:00,7/3/2019,19,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,10.14904,3
2019-07-04T05:00:00-00:00,2019-07-04T06:00:00-00:00,7/3/2019,23,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,5,3
2019-07-04T06:00:00-00:00,2019-07-04T07:00:00-00:00,7/3/2019,24,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,13.79097,3
2019-07-03T13:00:00-00:00,2019-07-03T14:00:00-00:00,7/3/2019,7,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,12.19971,3
2019-07-03T22:00:00-00:00,2019-07-03T23:00:00-00:00,7/3/2019,16,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,18.04,3
2019-07-03T11:00:00-00:00,2019-07-03T12:00:00-00:00,7/3/2019,5,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,10.99,3
2019-07-03T18:00:00-00:00,2019-07-03T19:00:00-00:00,7/3/2019,12,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,8.61733,3
2019-07-03T20:00:00-00:00,2019-07-03T21:00:00-00:00,7/3/2019,14,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,18.04,3
2019-07-04T12:00:00-00:00,2019-07-04T13:00:00-00:00,7/4/2019,6,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,11.18554,4
2019-07-04T23:00:00-00:00,2019-07-05T00:00:00-00:00,7/4/2019,17,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,12,4
2019-07-04T15:00:00-00:00,2019-07-04T16:00:00-00:00,7/4/2019,9,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,28.03946,4
2019-07-05T06:00:00-00:00,2019-07-05T07:00:00-00:00,7/4/2019,24,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,11.28243,4
2019-07-04T09:00:00-00:00,2019-07-04T10:00:00-00:00,7/4/2019,3,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,13.95026,4
2019-07-04T19:00:00-00:00,2019-07-04T20:00:00-00:00,7/4/2019,13,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,5,4
2019-07-05T02:00:00-00:00,2019-07-05T03:00:00-00:00,7/4/2019,20,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,8.3741,4
2019-07-04T07:00:00-00:00,2019-07-04T08:00:00-00:00,7/4/2019,1,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,10.99,4
2019-07-05T00:00:00-00:00,2019-07-05T01:00:00-00:00,7/4/2019,18,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,14,4
2019-07-04T08:00:00-00:00,2019-07-04T09:00:00-00:00,7/4/2019,2,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,12.04076,4
2019-07-04T10:00:00-00:00,2019-07-04T11:00:00-00:00,7/4/2019,4,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,13.93513,4
2019-07-04T11:00:00-00:00,2019-07-04T12:00:00-00:00,7/4/2019,5,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,12.52552,4
2019-07-04T21:00:00-00:00,2019-07-04T22:00:00-00:00,7/4/2019,15,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,7.54885,4
2019-07-04T14:00:00-00:00,2019-07-04T15:00:00-00:00,7/4/2019,8,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,23.72832,4
2019-07-04T16:00:00-00:00,2019-07-04T17:00:00-00:00,7/4/2019,10,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,5,4
2019-07-04T22:00:00-00:00,2019-07-04T23:00:00-00:00,7/4/2019,16,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,5,4
2019-07-05T03:00:00-00:00,2019-07-05T04:00:00-00:00,7/4/2019,21,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,6.11,4
2019-07-04T18:00:00-00:00,2019-07-04T19:00:00-00:00,7/4/2019,12,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,9.79026,4
2019-07-04T20:00:00-00:00,2019-07-04T21:00:00-00:00,7/4/2019,14,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,4.4,4
2019-07-05T04:00:00-00:00,2019-07-05T05:00:00-00:00,7/4/2019,22,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,7.4366,4
2019-07-05T01:00:00-00:00,2019-07-05T02:00:00-00:00,7/4/2019,19,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,10.98632,4
2019-07-05T05:00:00-00:00,2019-07-05T06:00:00-00:00,7/4/2019,23,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,10,4
